..>python nn.py -evaluate 1
Neural Networks

Reading data...
60000 training data read
10000 testing data read

(Func, Hidden, Batch, Learn, Drop)              V. Loss         V. Error
('relu', '1000:600', 100, 0.1, 0.5)             0.262           1.050
('relu', '1000:600', 200, 0.01, 0.0)            0.062           1.500
('relu', '1000:600', 200, 0.01, 0.5)            0.148           1.483
('relu', '1000:600', 200, 0.05, 0.0)            0.069           1.450
('relu', '1000:600', 200, 0.05, 0.5)            0.197           1.175
('relu', '1000:600', 200, 0.1, 0.0)             0.072           1.367
('relu', '1000:600', 200, 0.1, 0.5)             0.202           1.150
-------------------------------------------------------------------------------
Best Params: ('relu', '1000:600', 100, 0.1, 0.5), validation error: 1.050

Testing Set Error: 1.190
